0x00070002	daw_monitor.a.channel.1.solo
0x00070003	daw_monitor.a.channel.1.mute
0x00070004	daw_monitor.a.channel.1.pan
0x00070008	daw_monitor.a.channel.1.volume
0x00070100	daw_monitor.a.channel.2.stereo
0x00070102	daw_monitor.a.channel.2.solo
0x00070103	daw_monitor.a.channel.2.mute
0x00070104	daw_monitor.a.channel.2.pan
0x00070108	daw_monitor.a.channel.2.volume
0x00070200	daw_monitor.a.channel.3.stereo
0x00070202	daw_monitor.a.channel.3.solo
0x00070203	daw_monitor.a.channel.3.mute
0x00070204	daw_monitor.a.channel.3.pan
0x00070208	daw_monitor.a.channel.3.volume
0x00070300	daw_monitor.a.channel.4.stereo
0x00070302	daw_monitor.a.channel.4.solo
0x00070303	daw_monitor.a.channel.4.mute
0x00070304	daw_monitor.a.channel.4.pan
0x00070308	daw_monitor.a.channel.4.volume
0x00070400	daw_monitor.a.channel.5.stereo
0x00070402	daw_monitor.a.channel.5.solo
0x00070403	daw_monitor.a.channel.5.mute
0x00070404	daw_monitor.a.channel.5.pan
0x00070408	daw_monitor.a.channel.5.volume
0x00070500	daw_monitor.a.channel.6.stereo
0x00070502	daw_monitor.a.channel.6.solo
0x00070503	daw_monitor.a.channel.6.mute
0x00070504	daw_monitor.a.channel.6.pan
0x00070508	daw_monitor.a.channel.6.volume
0x00070600	daw_monitor.a.channel.7.stereo
0x00070602	daw_monitor.a.channel.7.solo
0x00070603	daw_monitor.a.channel.7.mute
0x00070604	daw_monitor.a.channel.7.pan
0x00070608	daw_monitor.a.channel.7.volume
0x00070700	daw_monitor.a.channel.8.stereo
0x00070702	daw_monitor.a.channel.8.solo
0x00070703	daw_monitor.a.channel.8.mute
0x00070704	daw_monitor.a.channel.8.pan
0x00070708	daw_monitor.a.channel.8.volume
0x00070800	daw_monitor.a.channel.9.stereo
0x00070802	daw_monitor.a.channel.9.solo
0x00070803	daw_monitor.a.channel.9.mute
0x00070804	daw_monitor.a.channel.9.pan
0x00070808	daw_monitor.a.channel.9.volume
0x00070900	daw_monitor.a.channel.10.stereo
0x00070902	daw_monitor.a.channel.10.solo
